-12.7	12.7	-12.7
-6.35	12.7	-12.7
0	12.7	-12.7
6.35	12.7	-12.7
12.7	12.7	-12.7
-12.7	6.34	-6.34
-6.35	6.34	-6.34
0	6.34	-6.34
6.35	6.34	-6.34
12.7	6.34	-6.34
-12.7	0	0
-6.35	0	0
0	0	0
6.35	0	0
12.7	0	0
-12.7	-6.34	6.34
-6.35	-6.34	6.34
0	-6.34	6.34
6.35	-6.34	6.34
12.7	-6.34	6.34
-12.7	-12.7	12.7
-6.35	-12.7	12.7
0	-12.7	12.7
6.35	-12.7	12.7
12.7	-12.7	12.7
12.7	12.7	12.7
6.35	12.7	12.7
0	12.7	12.7
-6.35	12.7	12.7
-12.7	12.7	12.7
12.7	6.34	6.34
6.35	6.34	6.34
0	6.34	6.34
-6.35	6.34	6.34
-12.7	6.34	6.34
12.7	0	0
6.35	0	0
0	0	0
-6.35	0	0
-12.7	0	0
12.7	-6.34	-6.34
6.35	-6.34	-6.34
0	-6.34	-6.34
-6.35	-6.34	-6.34
-12.7	-6.34	-6.34
12.7	-12.7	-12.7
6.35	-12.7	-12.7
0	-12.7	-12.7
-6.35	-12.7	-12.7
-12.7	-12.7	-12.7

